
  +-----------------------------------------------------+
  |  TRADE RANKINGS  |  Data Structure: MAX-HEAP       |
  +-----------------------------------------------------+
  Sorted by transaction volume (highest = root)

  # 1 [PLATINUM] God's Plan - Drake
       Vol: 8,420,000 streams  |  Avg: $2.49
  # 2 [PLATINUM] God's Plan - Drake
       Vol: 8,420,000 streams  |  Avg: $2.49
  # 3 [PLATINUM] God's Plan - Drake
       Vol: 8,420,000 streams  |  Avg: $2.49
  # 4 [PLATINUM] God's Plan - Drake
       Vol: 8,420,000 streams  |  Avg: $2.49
  # 5 [PLATINUM] God's Plan - Drake
       Vol: 8,420,000 streams  |  Avg: $2.49
  # 6 [PLATINUM] SICKO MODE - Travis Scott
       Vol: 6,150,000 streams  |  Avg: $2.29
  # 7 [PLATINUM] SICKO MODE - Travis Scott
       Vol: 6,150,000 streams  |  Avg: $2.29
  # 8 [PLATINUM] SICKO MODE - Travis Scott
       Vol: 6,150,000 streams  |  Avg: $2.29
  # 9 [PLATINUM] SICKO MODE - Travis Scott
       Vol: 6,150,000 streams  |  Avg: $2.29
  #10 [PLATINUM] SICKO MODE - Travis Scott
       Vol: 6,150,000 streams  |  Avg: $2.29
  #11 [GOLD] Hotline Bling - Drake
       Vol: 4,890,000 streams  |  Avg: $1.99
  #12 [GOLD] Hotline Bling - Drake
       Vol: 4,890,000 streams  |  Avg: $1.99
  #13 [GOLD] Hotline Bling - Drake
       Vol: 4,890,000 streams  |  Avg: $1.99
  #14 [GOLD] Hotline Bling - Drake
       Vol: 4,890,000 streams  |  Avg: $1.99
  #15 [GOLD] Hotline Bling - Drake
       Vol: 4,890,000 streams  |  Avg: $1.99
  #16 [GOLD] HUMBLE. - Kendrick Lamar
       Vol: 3,720,000 streams  |  Avg: $1.89
  #17 [GOLD] HUMBLE. - Kendrick Lamar
       Vol: 3,720,000 streams  |  Avg: $1.89
  #18 [GOLD] HUMBLE. - Kendrick Lamar
       Vol: 3,720,000 streams  |  Avg: $1.89
  #19 [GOLD] HUMBLE. - Kendrick Lamar
       Vol: 3,720,000 streams  |  Avg: $1.89
  #20 [GOLD] HUMBLE. - Kendrick Lamar
       Vol: 3,720,000 streams  |  Avg: $1.89
  #21 [GOLD] goosebumps - Travis Scott
       Vol: 2,940,000 streams  |  Avg: $2.19
  #22 [GOLD] goosebumps - Travis Scott
       Vol: 2,940,000 streams  |  Avg: $2.19
  #23 [GOLD] goosebumps - Travis Scott
       Vol: 2,940,000 streams  |  Avg: $2.19
  #24 [GOLD] goosebumps - Travis Scott
       Vol: 2,940,000 streams  |  Avg: $2.19
  #25 [GOLD] goosebumps - Travis Scott
       Vol: 2,940,000 streams  |  Avg: $2.19
  #26 [SILVER] Praise The Lord - ASAP Rocky
       Vol: 1,680,000 streams  |  Avg: $1.49
